	English	Proto-form	Under	Type
cuqaq		cuqqa3		base
cuqe-		cuqqa(C)a3-		base
cuqeq		cu3(3)uk(-)		base
cuqete-		cuqqa(C)a3-		base
cuqlamcaq		cuqla!		base
cuqlur-		cuqlu3-		base
curaq		cu3aq		base
curlu		cu3lu		base
curug-		cu39u!-		base
curuq		cu3uq		base
cuukvak		cuukvak		base
cuvayaaq		n0v!u3		base
cuyaq		cuyaq		base
cuyu-		cu9(9)u-		base
eciq		0ci3		base
ecuite-		0cu3it-	0cu3-	base
ecur-		0cu3-		base
ega-		0!a-		base
egaaq		0!a(C)a3	0!a-	base
egaleq		0!al03		base
egamaarrluk		0!ama(C)a3@u!	0!a-	base
egan		0!an	0!a-	base
ege-		0!0-		base
egiaq		0!iyaaq		base
egkuq		0!kuq		base
eglerte-		0!l03-		base
eglu		0!lu(q)		base
egluq		0!lu(q)		base
egmian		0!mi3-		base
egnaarte-		0303ni(3)-		base
egneq		0!n03	0!0-	base
egqakun		0!qa3-	0!0t-	base
egtaq		0!ta3	0!0t-	base
egte-		0!0t-		base
egtuk		0!tu!(-)		base
egturyaq		k0!tu3ya3		base
eguaqur-		0!qua3(t0)-		base
egume-		0!um0(t)-		base
eka		0k0-¹		base
eke- 	(burn)	0k0-¹		base
eke-	(get or put in)	0k0-²		base
ekiaq		0ki9a3	0ki9a3-	base
ekiliq		akulipaq	aku(3)	base
ekiq		0ki		base
ekli(yug)-		0kli-		base
ekua-		0kuma-	0k0-¹	base
ek’ur(ar)-		0k(0)9u3(a3)-	0k0-²	base
ekvik		0kvi!		base
elag-		0la!-		base
elagayuli		0la!ayuli	0la!-	base
elagyaq		0la!yaq	0la!-	base
elakaq		0lakaq	0la!-	base
elalirte-		0lali3-		base
elaqliq		cilalli3	cila	base
elara-		0la3a-		base
elaturraq		cilatuqaq	cila	base
elave-		0lav0-		base
lave-		0lav0-		base
elciar-		n0lca3-		base
elgar-		0l!a3-		base
elicar-		0lica3-	0lit-	base
elicima-		0licima-	0lit-	base
eligarte-		0li!a3t0-	0lit-	base
elillgia-		i&ut-²		base
elima-		0lima-		base
elingra(yug)-		0li3a-		base
elirqe-		0li3q0-	0@i-	base
elitaqe-		0litaq0-	0lit-	base
elite-		0lit-		base
elitnaur-		0litnau3-	0lit-	base
eliveq		0@iv03	0@i-	base
elivte-		0livt0-		base
livte-		0livt0-		base
ella		cila		base
ellai-		t0la!-		base
ellairute-		cila&i3ut0-	cila	base
ellaite-		cila&it-	cila	base
ellakegci-		cilaki!-	cila	base
ellalluk		cila@u!	cila	base
elleg-		cil0!-¹		base
ellerrar(aq)		(0)@0&a9a3(-)		base
llerrar(aq)		(0)@0&a9a3(-)		base
elli-	(sharpen)	cili-		base
elli-	(put, place)	0@i-		base
ellii		0@(0)&a		base
ellimer-		t0li-		base
ellin		cillin	cili-	base
ellir-		0@i3-	0@i-	base
elliraq		0@i!a3(a3)		base
elliveq		0@iv0q	0@i-	base
ellivik		0@(@)ivi!	0@i-	base
ellmaar		0@ma3(a3)		base
ellmi-		0@mi-		base
ellngar-		0@&a3-		base
elluar-		0@u3a3-		base
ellumrun		p0@u!-		base
elluqun		0tlu(3)-		base
ellur-		cilu3-		base
elnguq		n0l&u(3)-		base
elpeke-		0lp0k0-		base
elpet		0lp0t		base
elqiaq		t0lqi9a3		base
elquaq		q0lqu9a3		base
elraur-		0!l03-		base
elravig		0l3avi!		base
elturar		0ltu(3a)q		base
eluciq		0luci3	0t-	base
elumar-		elimma3-		base
elurtu-		0lu3-		base
emuk		0mmu!		base
emute-		0m0t-		base
ena		0n0		base
enair-		0n0&i3-	0n0	base
en’aq		t0n(n)aq	t0n0t-	base
eneq		n0n0q		base
engelqaq		k0nl0		base
englar-		0&la3-		base
enig-		0&i!-		base
enir-		t0nni3-		base
enki-		0&ki-		base
enliaq		0nli(C)a3		base
enqake-		0nqa(3)-		base
ente-		t0n0t-		base
enur-		0nu3-		base
enuur-		t0nu-		base
epaar-		0ppa3-		base
epe-		0p0-		base
epnaiq		0pna3i3	0pna3	base
epnaq		0pna3		base
eprir-		0p3i3-		base
epsalngu-		0pyal&u-	0p0-	base
epu		0pu		base
epulquq		0pulquq	0pu	base
eqe-		0q0-¹		base
eqiur-		q099i(C)u3-	q09u!	base
eqnarqe-		0q0-²		base
equg-		0q9u!-		base
equk	(wood)	q09u!		base
equk	(thing in mouth)	0q9u!-		base
ere-		030-¹		base
erevte-		0v03t0-		base
erina(q)		03ina(q)		base
erinraq		03i-		base
eriq		039i		base
eritar-		03ita3-	03i-	base
ermig-		03mi!-		base
erneq		03n0q	030-²	base
ernertur(aq)		qi3n03-		base
erte-		030-²		base
erur-		033u3-	030-¹	base
erute-		03ut0-	030-²	base
ervig-		03(0)vi!-	030-¹	base
ervuqar-		03vuqa3-	030-¹	base
ervuqe-		03vuqa3-	030-¹	base
esiq		0yyi3		base
eskaviaq		k09(0)kavi!		base
essmiar-		ci&u3-		base
essngur-		ci&u3-		base
esvaiq		0vya&(&)i3		base
ete-		0t-		base
etgalqite-		0t!al3it-	0t0-	base
etgate-		0t!at-	0t0-	base
et’u-		0t0-		base
eva-		0va-		base
evate-		ava-		base
evcug-		0vcu!-		base
everte-		0v03t0-		base
verte-		0v03t0-		base
evsiaq		0vya&(&)i3		base
evu-		i&(0)yu-		base
evunret		i&(0)yu-		base
eyag-		i&a!-		base
eyur-	(jell)	i!9u3-		base
eyur-	(stick up for)	i!$u3-		base
gilerte-		0!l03-		base
icivaq		iciva3		base
iciwa		ici!wa		base
igaq		i!aq		base
ige-		i!0-¹		base
iggag-		i!0!a3-		base
igta		$i!t0		base
igte-		i!t0-		base
igur-	(jell)	i!9u3-		base
igur-	(stick up for)	i!$u3-		base
igur-	(drill into)	ni!09u3-		base
iguuk		i!9u!		base
iguun		ni!09u3un	ni!09u3-	base
igvar-		i!va3-		base
igyaraq		i!ya3(a3)		base
ii		090		base
ii-		a!a-		base
iigmiur-		090!mi!-	090	base
iinraq		i903a3	i903-	base
iinru(q)		a!an3u(C)(a3)		base
iir-		i903-		base
iiraq	(spirit)	i903a3	i903-	base
iiraq	(scar, gland)	0903a(3)		base
iitaq		iitaq		base
iivkar-		090vka3-		base
ikamraq		ikam3a3		base
ikanga-		ika!-		base
ikayur-		ikayu3-		base
ikgete-		ik0!(0)t-		base
ikig-		iki!-		base
ikii		ikki		base
ikiituk		iki(C)itu!		base
ikir-		iki3-		base
ikug-		iku!-		base
ikusek		ikuy0!		base
